Index_Bolivia,OID,Country,CountryCode,GridCellArea,pointid,Pop,X,Y,X_deg,Y_deg,TravelHours,NTLBin,NTLArea,NightLights,Elevation,Slope,LandCover,Conflict,ElectrificationOrder,GHI,SolarRestriction,WindVel,HydropowerFID,HydropowerDist,Hydropower,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,SubstationDist,TransformerDist,RoadDist,IsUrban,Electrific,ElecTechStart,PerCapitaDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,ResidentialDemandTierCustom,CommercialDemand,AgriDemand,EducationDemand,HealthDemand,HealthDemand2025,EducationDemand2025,ElecPop,ElecStart,Elec_Initial_Status_Grid2012,Elec_Init_Status_Offgrid2012,Actual_Elec_Status_2012,FinalElecCode2012,GridReachYear,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,Pop2025High,Pop2025Low,Pop2012,GridDistCalibElec,Unnamed: 68,MVConnectDist,Pop2025,NewConnections2025,NumPeoplePerHH,EnergyPerSettlement2025,TotalEnergyPerCell,MG_Hydro2025,MG_PV2025,MG_Wind2025,MG_Diesel2025,SA_Diesel2025,SA_PV2025,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Off_Grid_Code2025,Elec_Initial_Status_Grid2025,Elec_Init_Status_Offgrid2025,Actual_Elec_Status_2025,Grid_extension2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,InvestmentCapita2025,GridElecIn2025,OffGridElecIn2025,FinalElecCode2025,NewCapacity2025,InvestmentCostLV2025,InvestmentCostMV2025,InvestmentCostHV2025,InvestmentCostTransformer2025,InvestmentCostConnection2025,HouseHolds,Location,ExpectedDemand,Fuel_Cost,NPC_Hybrid,NPC_Distribution_Hybrid,NPC_Total_Hybrid,Actualize_Demand,LCOE Hybrid,PV_Hybrid,NPC_HomeSystem,LCOE_HomeSystem,PV_HomeSystem
0,-1.0,Bolivia,1.0,1.0,1.0,141.704823,-7677.162081,-1560.397784,-68.96512036,-13.96940329,6.0,0.0,1.0,0.0,1164.0,23.798687,2.0,0.0,0.0,1712.0,1.0,5.01716852,86.0,45.396297499999996,1941200.0,206016,156.22899999999998,89792,57.04,156157,0.0,45.8126488,0.0,0.33299999999999996,3.0,143.03547298,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,131.525027,0.0,0.0,11.51044598,0.0,0.0,0.0,45.13221987,0.33299999999999996,0.0,1.0,1.0,3.0,2012.0,2.0,1.0,4.0,3.0,3.0,2.65,1.030653506,0.078357283,135.5321918,163.068573,154.9151444,135.5321918,57.04,,0.0,163.068573,117.93635312999999,3.41909407774657,16869.082051485853,23324.590467228656,100,100,100,100,100,100,SA_PV2025,0.4955171594028719,3.0,0,1,1,99.0,0.0,0.0,Grid_extension2025,99.0,1.0,73350.35729518722,0,621.9486642454842,0,0,99.0,0.0,42724.468905721726,0.0,0.0,10000,5961.687851079619,47.69350280863695,HighLands,135699.57273578327,0.5442888,180380.31129081897,55686.15675680134,236066.46804762032,1013600.3083952756,0.23289897022758307,24.99192043764056,99.0,99.0,99.0
5,-1.0,Bolivia,1.0,1.0,6.0,178.039393,-7171.366879000001,-2573.0515809999997,-64.42148475,-22.64794351,4.0,1.0,1.0,0.1083464,477.0,1.3506948,14.0,0.0,0.0,1680.0,1.0,1.63658643,396.0,5.7181096,1409850.0,142.97899999999998,112866,49,61,117163,0.0,0.14733339999999998,0.0,878,4.0,246.73032257,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,237.5689472,0.0,0.0,9.16137537,0.0,0.0,0.0,149.50938349999998,878,0.0,1.0,1.0,4.0,2012.0,5.0,1.0,5.0,5.0,5.0,4.2,1.141803222,8.58e-06,170.28403590000002,204.88102759999998,194.63697630000001,170.28403590000002,61,,0.0,204.88102759999998,55.3716441,3.41909407774657,13661.863610024237,50550.36202822107,100,100,100,100,100,100,SA_Diesel2025,0.5057392855554792,2.0,0,1,1,99.0,0.0,0.0,Grid_extension2025,99.0,1.0,26055.052597586546,0,470.5486539379557,0,0,99.0,0.0,6365.5883514674815,11458.059032641468,0.0,0,2024.3536314337796,59.922606088403214,Chaco,42599.81756485558,0.5395258666666667,68036.33021599121,19848.00101554273,87884.33123153394,318196.93570732936,0.2761947755284735,16.089088342735025,99.0,99.0,99.0
12,-1.0,Bolivia,1.0,1.0,13.0,163.505565,-7179.273684000001,-2532.021368,-64.49251279,-22.305402800000003,13.0,0.0,1.0,0.0,850.0,3.3715992,4.0,0.0,0.0,1652.0,1.0,1.52317488,395.0,8.499354400000001,2598790.0,101.26899999999999,80498,98,106,87.53399999999999,0.0,0.0675878,0.0,889,4.0,184.3630571,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,184.3630571,0.0,0.0,0.0,0.0,0.0,0.0,139.0247521,889,0.0,1.0,1.0,4.0,2012.0,5.0,1.0,4.0,4.0,5.0,3.85,1.102740091,1.98e-06,156.38329819999998,188.15604580000002,178.7482435,156.38329819999998,106,,22.105427898620416,188.15604580000002,49.131293700000015,3.41909407774657,9057.995505809973,34689.02381553562,100,100,100,100,100,100,SA_PV2025,0.5854263887259723,3.0,0,1,1,0.39878167636142614,24.37654157251862,1.0,Grid_extension2025,0.39878167636142614,1.0,22367.083070639583,0,455.251254062532,0,0,99.0,0.0,5876.969966482224,10578.545939668003,0.0,0,1796.2102161715413,55.030964788195725,HighLands,151371.50180094177,0.5609590666666667,206002.959818671,18251.72612232177,224254.68594099276,1130660.8990319383,0.19833947219099696,29.50518956244734,99.0,99.0,99.0
17,-1.0,Bolivia,1.0,1.0,18.0,228.907791,-7144.151473000001,-2441.292589,-64.1770046,-21.54494391,2.0,0.0,1.0,0.0,1299.0,3.5029726,14.0,0.0,0.0,1785.0,1.0,4.06490088,385.0,39.0521889,3034450.0,61718,6096,26081,23,60622,0.0,1.8188612000000002,0.0,825,4.0,186.302016175,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,179.176502,0.0,0.0,7.125514175,0.0,0.0,0.0,180.62270949999998,825,0.0,1.0,1.0,4.0,2012.0,5.0,1.0,5.0,3.0,5.0,3.9,1.107634822,0.034558132000000005,218.93661749999998,263.4184641,250.2475409,218.93661749999998,23,,24.57582389854238,263.4184641,82.79575460000001,3.41909407774657,15425.016012710534,49075.390959551856,100,100,100,100,100,100,SA_Diesel2025,0.452108561814393,2.0,0,1,1,0.3613017048801021,27.22103832936534,1.0,Grid_extension2025,0.3613017048801021,1.0,33875.91223352695,0,409.1503531453646,0,0,99.0,0.0,8514.58493597316,15326.252884751688,0.0,0,3026.962432054824,77.0433506976245,HighLands,198387.2889339481,0.5347629333333334,265934.7561421837,26867.80025277967,292802.55639496335,1481842.6704753158,0.1975935517507024,39.74160272464876,99.0,99.0,99.0
18,-1.0,Bolivia,1.0,1.0,19.0,167.139022,-7002.561398000001,-1827.237259,-62.90507932,-16.29767899,5.0,0.0,1.0,0.0,335.0,7.4220819,2.0,0.0,0.0,1869.0,1.0,4.34899569,530.0,43.342040999999995,358274.0,125934,101.04799999999999,3111,2991,101444,0.0,3.5266066,0.0,457,3.0,84.63645311799999,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,74.87759675,0.0,0.0,9.758856368,0.0,0.0,0.0,73.05532657,457,0.0,1.0,1.0,3.0,2012.0,5.0,1.0,4.0,5.0,5.0,4.0,1.118071038,0.045880332999999995,159.8584826,192.3372913,182.7204267,159.8584826,2991,,0.0,192.3372913,119.28196473,3.41909407774657,10095.602415693573,16278.746137955559,100,100,100,100,100,100,SA_PV2025,0.5174555346042303,3.0,0,1,1,99.0,0.0,0.0,Grid_extension2025,99.0,1.0,74695.45179161322,0,626.2091000989938,0,0,99.0,0.0,46076.94016915137,0.0,0.0,10000,7031.734390983919,56.25387512787135,Amazonia,71358.3004195555,0.5419073333333334,112972.30743784877,60108.67456013529,173080.98199798405,533006.8021117023,0.324725653241685,15.333973764150073,99.0,99.0,99.0
25,-1.0,Bolivia,1.0,1.0,26.0,697.623744,-6958.944236,-1823.2381679999999,-62.51325968,-16.26298092,5.0,1.0,1.0,0.145305,528.0,0.5407350000000001,14.0,0.0,0.0,1879.0,1.0,6.33918476,528.0,29.971574800000003,102342.0,149.99200000000002,127.10799999999999,0.057999999999999996,0.057999999999999996,127538,0.0,1.6897174,0.0,0.7240000000000001,3.0,111.67146693899998,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,109.33340759999999,0.0,0.0,2.338059339,0.0,0.0,0.0,483.0784338,0.7240000000000001,0.0,1.0,1.0,3.0,2012.0,5.0,1.0,5.0,4.0,5.0,4.05,1.123631377,0.159827613,667.2354058,802.7991287000001,762.6591722999999,667.2354058,0.057999999999999996,,0.0,802.7991287000001,319.72069490000007,3.41909407774657,35703.67901023946,89649.75635928006,100,100,100,100,100,100,SA_Diesel2025,0.5325546474260227,2.0,0,1,1,99.0,0.0,0.0,Grid_extension2025,99.0,1.0,152784.10332842142,0,477.8674191741267,0,0,99.0,0.0,90212.85376530669,0.0,0.0,10000,29349.847885331612,234.7987830826529,Amazonia,272663.2960666745,0.5419073333333334,371856.41661738267,126562.70165063831,498419.118268021,2036643.1183933706,0.24472580088611923,64.30671968189347,99.0,99.0,99.0
27,-1.0,Bolivia,1.0,1.0,28.0,119.904081,-7143.097188,-1872.2575170000002,-64.1675338,-16.68786499,30.0,0.0,1.0,0.0,236.0,0.4140143,2.0,0.0,0.0,1817.0,1.0,3.36662936,182.0,8.1811981,7260830.0,64673,64594,46008,24.070999999999998,70943,0.0,39.350666,0.0,0.0,0.0,130.6061256,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,130.6061256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2012.0,2.0,1.0,4.0,5.0,5.0,3.55,1.077364157,0.013810365,114.6810854,137.9811002,131.0820452,114.6810854,24.070999999999998,,0.0,137.9811002,137.9811002,3.41909407774657,18021.176903147385,18021.176903147385,100,100,100,100,100,100,SA_PV2025,0.46688243087381215,3.0,0,0,0,99.0,0.0,0.0,Grid_extension2025,99.0,1.0,69834.34136273476,0,506.11526695693624,0,0,99.0,0.0,39602.199652561365,0.0,0.0,10000,5044.505103634773,40.35604082907818,Amazonia,53433.88296639748,0.6014440000000001,103375.51775399863,51646.70475619614,155022.22251019476,399121.3764464248,0.38840871889758033,13.168544090126943,99.0,99.0,99.0
30,-1.0,Bolivia,1.0,1.0,31.0,1340.745633,-7013.235317000001,-2027.289571,-63.00096476,-18.02525319,1.0,0.0,1.0,0.0,362.0,0.1004148,12.0,0.0,0.0,1901.0,0.0,6.78719139,628.0,27.065519300000002,921650.0,28509,4.3660000000000005,361,361,24264,0.0,3.5761294,0.0,0.8270000000000001,2.0,169.5561727,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,169.5561727,0.0,0.0,0.0,0.0,0.0,0.0,1060.497699,0.8270000000000001,0.0,1.0,1.0,2.0,2012.0,5.0,1.0,3.0,5.0,5.0,3.8,1.098049029,0.190117265,1282.3430460000002,1542.879576,1465.735597,1282.3430460000002,361,,0.0,1542.879576,482.38187700000003,3.41909407774657,81790.82484396215,261604.75584355876,100,100,100,100,100,100,SA_Diesel2025,0.4252931999438502,2.0,0,1,1,99.0,0.0,0.0,Grid_extension2025,99.0,1.0,234177.68425440838,0,485.46119873074827,0,0,99.0,0.0,123610.57810410272,0.0,0.0,10000,56406.73892398674,451.25391139189395,Chaco,178570.35020451,0.5323814666666667,275825.2526943926,187017.31702808946,462842.569722482,1333821.163829024,0.3470049675878524,170.02235625775182,99.0,99.0,99.0
39,-1.0,Bolivia,1.0,1.0,40.0,261.608904,-7016.547125,-1766.535611,-63.03071524,-15.77033943,6.0,0.0,1.0,0.0,226.0,2.9828537,2.0,0.0,0.0,1858.0,1.0,3.46581864,505.0,5.0068574,176816.0,181.35,156296,12.722000000000001,12.73,156642,0.0,12.812206300000001,0.0,611,4.0,101.843014,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,101.843014,0.0,0.0,0.0,0.0,0.0,0.0,152.8803124,611,0.0,1.0,1.0,4.0,2012.0,3.0,1.0,4.0,5.0,5.0,3.7,1.08924436,0.016129225,250.2132772,301.0496733,285.9971896,250.2132772,12.73,,0.0,301.0496733,148.1693609,3.41909407774657,15090.014296509751,30659.806092587325,100,100,100,100,100,100,SA_PV2025,0.5205190496099603,3.0,0,1,1,99.0,0.0,0.0,Grid_extension2025,99.0,1.0,54872.58003905313,0,370.3368881781627,0,0,99.0,0.0,15214.174667686775,27385.514401836193,0.0,0,5416.981718358211,88.04954366696265,Amazonia,107207.13525991983,0.5442888,157364.8159220575,48016.67078788118,205381.48670993868,800777.6529496347,0.2564775452379616,23.417716483737323,99.0,99.0,99.0
45,-1.0,Bolivia,1.0,1.0,46.0,236.174705,-6940.324789,-1937.1206539999998,-62.34599835,-17.24860807,19.0,0.0,1.0,0.0,265.0,0.803267,12.0,0.0,0.0,1883.0,0.0,4.88607168,207.0,42.9293327,4160980.0,62784,62.373000000000005,1102,1102,62497,0.0,38.5800934,0.0,831,2.0,172.5523301,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,172.5523301,0.0,0.0,0.0,0.0,0.0,0.0,187.7120856,831,0.0,1.0,1.0,2.0,2012.0,2.0,1.0,3.0,5.0,5.0,3.35,1.063706065,0.071396219,225.8869863,271.780955,258.1919073,225.8869863,1102,,0.0,271.780955,84.06886940000001,3.41909407774657,14506.279303842592,46896.43706205325,100,100,100,100,100,100,SA_PV2025,0.5136082815588456,3.0,0,1,1,99.0,0.0,0.0,Grid_extension2025,99.0,1.0,87589.3901813564,0,1041.8766281321773,0,0,99.0,0.0,54062.5452701592,0.0,0.0,10000,9936.146418466033,79.48917134772826,Amazonia,97555.52585699232,0.5752478666666667,148356.2904621379,70998.69168862523,219354.98215076313,728685.5006304375,0.3010283338435904,21.834198662442162,99.0,99.0,99.0
